match	teamNumber	role	coralPickup	algaePickup	algaeKnocking	underShallowCage	teleopPoints	autoPoints	driverAbility	feeds	defends	coralPickups	algaePickups	coralDrops	algaeDrops	coralL1	coralL2	coralL3	coralL4	processorScores	netScores	netFails	activeAuton	endgame	scouter	notes
Q1	21	OFFENSE	STATION	NONE	FALSE	FALSE	27	3	3	0	0	6	1	3	1	0	0	0	3	0	0	0	TRUE	DEEP		James Sanders; driver had difficulty lining up coral for intake and score. Slow cycle times.
Q1	79	OFFENSE	STATION	REEF	TRUE	FALSE	33	0	4	0	0	5	2	1	1	0	1	3	0	1	0	0	FALSE	DEEP		Did fairly well at scoring coral and excelled at removing the algae. Their auto did fail though but it attempted to score a coral at l4. They can climb deep cage quickly. Good team to watch. - Angel
Q1	86	OFFENSE	STATION	NONE	FALSE	FALSE	18	3	3	0	0	11	0	5	0	1	2	2	0	0	0	0	TRUE	PARKED		Dropped a lot of L4 coral
Q1	86	OFFENSE	STATION	NONE	FALSE	FALSE	17	3	5	0	0	11	0	5	0	2	1	2	0	0	0	0	TRUE	PARKED		Xander Jones
Q1	4118	IMMOBILE	NONE	NONE	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	FALSE	NOT_ATTEMPTED
Q1	4118	IMMOBILE	NONE	NONE	FALSE	FALSE	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	TRUE	NOT_ATTEMPTED		Remained stationary most of the match
Q1	8324	FEEDER	GROUND	NONE	TRUE	FALSE	27	3	2	0	0	9	0	4	0	0	0	0	5	0	0	0	TRUE	PARKED		Scored coral at L4 consistently; dropped coral on accident a lot and was slow
Q1	8841	OFFENSE	STATION	REEF	TRUE	FALSE	30	17	3	0	0	11	1	2	0	1	1	1	5	1	0	0	TRUE	NOT_ATTEMPTED		Dropped pieces that seemed to be securely in thr intake. Implies a rough tower driver.
Q1	8841	OFFENSE	STATION	REEF	TRUE	FALSE	31	10	3	0	0	9	1	2	0	1	0	2	4	1	0	0	TRUE	NOT_ATTEMPTED		3627 - Pretty good job!
Q2	179	OFFENSE	GROUND	REEF	TRUE	FALSE	20	0	3	0	0	5	0	1	0	0	0	2	2	0	0	0	FALSE	PARKED		Robot's auto worked as intended but did not perform as intended due to coral station mishaps; started working very efficiently; but when their elevator got stuck; they tried in a latch ditch effort; ramming it repeatedly into the reef. Then parked. - Angel
Q2	801	OFFENSE	STATION	REEF	TRUE	FALSE	49	17	5	0	0	13	3	0	2	0	5	4	4	1	0	0	TRUE	PARKED		Xander Jones
Q2	2152	OFFENSE	STATION	REEF	TRUE	FALSE	4	0	3	0	0	3	0	1	0	0	0	1	0	0	0	0	FALSE	NOT_ATTEMPTED
Q2	3627	IMMOBILE	NONE	NONE	FALSE	FALSE	0	3	1	0	0	1	1	1	1	0	0	0	0	0	0	0	TRUE	NOT_ATTEMPTED		Mostly disable
